original_skill,normalized_skill
có trách nhiệm với công việc- Có khả năng ăn nói,có trách nhiệm với công việc- có khả năng ăn nói
có trách nhiệm với công việcBiết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênChăm chỉ,có trách nhiệm với công việcbiết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênchăm chỉ
có tư duy về nghề Marketing và muốn phát triển trong nghề Marketing- Am hiểu,có tư duy về nghề marketing và muốn phát triển trong nghề marketing- am hiểu
có óc sáng tạo - Giao tiếp,có óc sáng tạo - giao tiếp
có óc sáng tạo - Kỹ năng giao tiếp linh hoạt,có óc sáng tạo - kỹ năng giao tiếp linh hoạt
có óc sáng tạo - Kỹ năng giao tiếp tốt (điện thoại,có óc sáng tạo - kỹ năng giao tiếp tốt (điện thoại
có óc sáng tạo - Kỹ năng thuyết trình tốt - Có khả năng thích nghi nhanh với môi trường làm việc - Biết quan sát,có óc sáng tạo - kỹ năng thuyết trình tốt - có khả năng thích nghi nhanh với môi trường làm việc - biết quan sát
có óc sáng tạo - Kỹ năng thuyết trình tốt - Khả năng thích ứng với công việc nhanh - Kỹ năng lên kế hoạch,có óc sáng tạo - kỹ năng thuyết trình tốt - khả năng thích ứng với công việc nhanh - kỹ năng lên kế hoạch
có ý chí tiến thủ trong công việc Tỉ mỉ và cẩn thận khi làm việc,có ý chí tiến thủ trong công việc tỉ mỉ và cẩn thận khi làm việc
có ý thức chấp hành pháp luật.,có ý thức chấp hành pháp luật
công ty sẽ đào tạo miễn phí - Sử dụng Vi tính văn phòng là lợi thế - Có xe,công ty sẽ đào tạo miễn phí - sử dụng vi tính văn phòng là lợi thế - có xe
cùng khách hàng kiểm tra chất lượng sản phẩm giao,cùng khách hàng kiểm tra chất lượng sản phẩm giao
cơ khí sẽ được nâng làm vị trí quản lý,cơ khí sẽ được nâng làm vị trí quản lý
cơ điện,cơ điện
cấp thoát nước,cấp thoát nước
cần cù,cần cù
cầu tiến,cầu tiến
cầu tiến trong sự nghiệp,cầu tiến trong sự nghiệp
cẩn thận,cẩn thận
cẩn thận khi làm việc,cẩn thận khi làm việc
cẩn trọng,cẩn trọng
cập nhật thông tin tốt.6.Thành thạo tin học văn phòng7.Am hiểu luật Lao động8.Năng động,cập nhật thông tin tốt.6.thành thạo tin học văn phòng7.am hiểu luật lao động8.năng động
cởi mở trong môi trường làm việc Khả năng công nghệ thông tin,cởi mở trong môi trường làm việc khả năng công nghệ thông tin
doanh nghiệp,doanh nghiệp
du lịch.• Có thái độ dịch vụ.• Tác phong nhanh nhẹn,du lịch.• có thái độ dịch vụ.• tác phong nhanh nhẹn
du lịch.• Tiếng Anh giao tiếp thành thạo.• Kỹ năng lãnh đạo,du lịch.• tiếng anh giao tiếp thành thạo.• kỹ năng lãnh đạo
dùng third-party libraries.Có kiến thức tốt về OOP,dùng third-party libraries.có kiến thức tốt về oop
dễ dàng thiết lập các mối quan hệ Tinh thần làm việc hoạt bát,dễ dàng thiết lập các mối quan hệ tinh thần làm việc hoạt bát
dễ nghe- Tính cách tận tâm,dễ nghe- tính cách tận tâm
dịch vụ và hoạt động công ty cho website của công ty. – Biên tập nội dung,dịch vụ và hoạt động công ty cho website của công ty. – biên tập nội dung
eager to learn.,eager to learn
edit voice,edit voice
email…) - Dễ dàng hòa nhập với môi trường làm việc mới - Biết quan sát,email…) - dễ dàng hòa nhập với môi trường làm việc mới - biết quan sát
email…) - Dễ dàng hòa nhập với môi trường làm việc mới - Kỹ năng tổ chức và quản lý công việc hiệu quả - Chịu được áp lực cao trong công việc - Làm việc độc lập và làm việc nhóm - Khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - Kỹ năng thao tác bàn phím tốt - Có tầm nhìn và sự quyết đoán,email…) - dễ dàng hòa nhập với môi trường làm việc mới - kỹ năng tổ chức và quản lý công việc hiệu quả - chịu được áp lực cao trong công việc - làm việc độc lập và làm việc nhóm - khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - kỹ năng thao tác bàn phím tốt - có tầm nhìn và sự quyết đoán
email…) - Dễ dàng hòa nhập với môi trường làm việc mới - Kỹ năng tổ chức và quản lý công việc hiệu quả - Có thể chịu được công việc có nhiều áp lực - Kỹ năng tự chủ,email…) - dễ dàng hòa nhập với môi trường làm việc mới - kỹ năng tổ chức và quản lý công việc hiệu quả - có thể chịu được công việc có nhiều áp lực - kỹ năng tự chủ
email…) - Dễ dàng làm quen với môi trường mới - Kỹ năng lên kế hoạch,email…) - dễ dàng làm quen với môi trường mới - kỹ năng lên kế hoạch
email…) - Khả năng thích ứng với công việc nhanh - Có khả năng quản lý,email…) - khả năng thích ứng với công việc nhanh - có khả năng quản lý
email…) - Khả năng thích ứng với công việc nhanh - Kỹ năng lên kế hoạch,email…) - khả năng thích ứng với công việc nhanh - kỹ năng lên kế hoạch
email…) - Khả năng thích ứng với công việc nhanh - Kỹ năng tổ chức và quản lý công việc hiệu quả - Khả năng chịu được áp lực công việc - Có khả năng xây dựng và làm việc theo đội nhóm - Khả năng nhận diện vấn đề nhanh - Kỹ năng tin học văn phòng thành thạo - Khả năng truyền cảm hứng,email…) - khả năng thích ứng với công việc nhanh - kỹ năng tổ chức và quản lý công việc hiệu quả - khả năng chịu được áp lực công việc - có khả năng xây dựng và làm việc theo đội nhóm - khả năng nhận diện vấn đề nhanh - kỹ năng tin học văn phòng thành thạo - khả năng truyền cảm hứng
enthusiastic,enthusiastic
etc)- Basic understanding of front-end technologies,etc)- basic understanding of front-end technologies
etc)- Experience in learning course designing,etc)- experience in learning course designing
etc)- Good understanding of server-side CSS preprocessors (Stylus,etc)- good understanding of server-side css preprocessors (stylus
etc)- Understanding the nature of asynchronous programming and its quirks and workarounds- Good understanding of server-side templating languages ( Jade,etc)- understanding the nature of asynchronous programming and its quirks and workarounds- good understanding of server-side templating languages ( jade
etc.,etc
exel- Khả năng làm việc độc lập- Khả năng giải quyết vấn đề- Khả năng đàm phán,exel- khả năng làm việc độc lập- khả năng giải quyết vấn đề- khả năng đàm phán
factory … ),factory
gcp,gcp
ghi nhận đầy đủ theo các biểu mẫu của các quy trình này,ghi nhận đầy đủ theo các biểu mẫu của các quy trình này
giao hàng cho khách nhanh nhất có thể. - Lái xe vững vàng,giao hàng cho khách nhanh nhất có thể. - lái xe vững vàng
giao hàng đúng lịch hẹn bất kể nắng,giao hàng đúng lịch hẹn bất kể nắng
giao lưu với các members trong công việc.Thành thạo về hệ thống quản lý source code Git.,giao lưu với các members trong công việc.thành thạo về hệ thống quản lý source code git
giao tiếp,giao tiếp
giao tiếp cơ bản trở lên.,giao tiếp cơ bản trở lên
giao tiếp tốt,giao tiếp tốt
giao tiếp tốt)Từng có kinh nghiệm liên quan đến thiết kế CAD,giao tiếp tốt)từng có kinh nghiệm liên quan đến thiết kế cad
giao tiếp tốt.,giao tiếp tốt
giá cả của từng sản phẩm ????Thu ngân: kiểm kê sổ sách thanh toán bill và đóng gói sản phẩm cho khách ????Phụ kho: Xuất nhập hàng hoá phân phối các loại sản phẩm tại siêu thị,giá cả của từng sản phẩm ????thu ngân: kiểm kê sổ sách thanh toán bill và đóng gói sản phẩm cho khách ????phụ kho: xuất nhập hàng hoá phân phối các loại sản phẩm tại siêu thị
giúp shop quần áo đảm bảo được uy tín. - Kỹ năng giao tiếp với khách hàng và chủ shop. - Kỹ năng chịu được áp lực cao trong công việc,giúp shop quần áo đảm bảo được uy tín. - kỹ năng giao tiếp với khách hàng và chủ shop. - kỹ năng chịu được áp lực cao trong công việc
giúp đỡ đông nghiệp -Chịu được áp lực công việc -Ưu tiên người có kinh nghiệm về BĐS,giúp đỡ đông nghiệp -chịu được áp lực công việc -ưu tiên người có kinh nghiệm về bđs
giải quyết tình huống tốt. Giao tiếp tự tin,giải quyết tình huống tốt. giao tiếp tự tin
giải quyết vấn đề,giải quyết vấn đề
giải quyết vấn đề hiệu quả - Tổ chức công việc tốt,giải quyết vấn đề hiệu quả - tổ chức công việc tốt
giải quyết vấn đềCó năng lực đưa ra giải pháp,giải quyết vấn đềcó năng lực đưa ra giải pháp
giấy bảo hiểm và giấy chứng nhận kiểm định của xe,giấy bảo hiểm và giấy chứng nhận kiểm định của xe
giấy phép lưu hành cho phương tiện.,giấy phép lưu hành cho phương tiện
giấy phép lưu hành cho phương tiện. Đạt bằng loại giỏi trường Đại học Giao Thông Vận Tải ngành Kỹ Thuật vận tải,giấy phép lưu hành cho phương tiện. đạt bằng loại giỏi trường đại học giao thông vận tải ngành kỹ thuật vận tải
giấy đăng ký xe,giấy đăng ký xe
giọng nói dễ nghe - Có tinh thần ham học tốt,giọng nói dễ nghe - có tinh thần ham học tốt
giọng nói rõ ràng,giọng nói rõ ràng
gọn gàng nơi làm việc + Trưng bày sản phẩm và đứng bán trực tiếp tại cửa hàng - Vị trí cần tuyển: + 4 nhân viên bán hàng + 1 nhân viên kho+ 1 nhân viên thu ngân - Mức lương: + Ca 4 tiếng: 3.200.000 + phụ cấp xăng xe đi lại + Ca 8 tiếng: 7.500.000 + phụ cấp xăng xe đi lại - Yêu cầu: + Độ tuổi từ 19 đến 35 tuổi + Giao tiếp tốt,gọn gàng nơi làm việc + trưng bày sản phẩm và đứng bán trực tiếp tại cửa hàng - vị trí cần tuyển: + 4 nhân viên bán hàng + 1 nhân viên kho+ 1 nhân viên thu ngân - mức lương: + ca 4 tiếng: 3.200.000 + phụ cấp xăng xe đi lại + ca 8 tiếng: 7.500.000 + phụ cấp xăng xe đi lại - yêu cầu: + độ tuổi từ 19 đến 35 tuổi + giao tiếp tốt
gửi thông báo và điện thoại nhắc phí,gửi thông báo và điện thoại nhắc phí
ham học hỏi,ham học hỏi
ham học hỏi - Kỹ năng giao tiếp tốt - Có thể làm thêm giờ nếu cần thiết - Tuân thủ đúng luật an toàn giao thông,ham học hỏi - kỹ năng giao tiếp tốt - có thể làm thêm giờ nếu cần thiết - tuân thủ đúng luật an toàn giao thông
ham học hỏi và chủ động trong công việc •Có kinh nghiệm về Sales Admin,ham học hỏi và chủ động trong công việc •có kinh nghiệm về sales admin
ham học hỏi.- Ứng viên chưa có kinh nghiệm sẽ được đào tạo.- Ưu tiên các ứng viên chuyên ngành về du lịch,ham học hỏi.- ứng viên chưa có kinh nghiệm sẽ được đào tạo.- ưu tiên các ứng viên chuyên ngành về du lịch
ham học hỏi.9.Thời gian: 9h00 đến 18h00 từ thứ 2 đến thứ 7 (nghỉ trưa 1,ham học hỏi.9.thời gian: 9h00 đến 18h00 từ thứ 2 đến thứ 7 (nghỉ trưa 1
ham học hỏiCẩn thận,ham học hỏicẩn thận
hiểu biết tường tận về quá trình thí điểm và triển khai các sáng kiến tại ngân hàng• Có hiểu biết về chính sách ngân hàng cũng như cách thức điều chỉnh chính sách• Có quan hệ chặt chẽ với các bên liên quan back-end (vận hành chi nhánh,hiểu biết tường tận về quá trình thí điểm và triển khai các sáng kiến tại ngân hàng• có hiểu biết về chính sách ngân hàng cũng như cách thức điều chỉnh chính sách• có quan hệ chặt chẽ với các bên liên quan back-end (vận hành chi nhánh
hiểu luật giao thông - Đảm bảo lái xe an toàn trên mọi hành trình - Xử lý tình huống nhanh,hiểu luật giao thông - đảm bảo lái xe an toàn trên mọi hành trình - xử lý tình huống nhanh
hiểu được tâm lý của Khách hàng Giọng nói: nhẹ nhàng,hiểu được tâm lý của khách hàng giọng nói: nhẹ nhàng
hiệu quả hoạt động các tổ thợ.- Quyết đoán,hiệu quả hoạt động các tổ thợ.- quyết đoán
hoàn thiện bản thân khi tham gia làm việc ở môi trường chuyên nghiệp như công ty mình - Mong muốn sẽ tạo ra giá trị cốt lõi cho toàn công ty - Muốn được cống hiến hết mình bởi vì đây là niềm đam mê của tôi - Tôi mong muốn được gắn bó lâu dài với công ty để xây dựng sự nghiệp của bản thân một cách bền vững nhất,hoàn thiện bản thân khi tham gia làm việc ở môi trường chuyên nghiệp như công ty mình - mong muốn sẽ tạo ra giá trị cốt lõi cho toàn công ty - muốn được cống hiến hết mình bởi vì đây là niềm đam mê của tôi - tôi mong muốn được gắn bó lâu dài với công ty để xây dựng sự nghiệp của bản thân một cách bền vững nhất
hoàn thành tốt nhiệm vụ được giao. - Ưu tiên ứng viên đã có kinh nghiệm làm trong ngành sơn nước,hoàn thành tốt nhiệm vụ được giao. - ưu tiên ứng viên đã có kinh nghiệm làm trong ngành sơn nước
hoạt bát trong các hoạt động tập thể - Giao tiếp,hoạt bát trong các hoạt động tập thể - giao tiếp
hoạt bát trong các hoạt động tập thể - Kỹ năng giao tiếp linh hoạt,hoạt bát trong các hoạt động tập thể - kỹ năng giao tiếp linh hoạt
hoặc dịch vụ. Nếu bạn không có kinh nghiệm,hoặc dịch vụ. nếu bạn không có kinh nghiệm
hoặc lên chức nếu năng suất tốt và làm hiệu quả theo thang đánh giá KPI của công ty,hoặc lên chức nếu năng suất tốt và làm hiệu quả theo thang đánh giá kpi của công ty
hoặc mong muốn có bằng lái sau khi sang Nhật.,hoặc mong muốn có bằng lái sau khi sang nhật
hòa đồng,hòa đồng
hóa đơn kế toán,hóa đơn kế toán
hướng dẫn hỗ trợ các thành viên khác là 1 lợi thếCó chứng chỉ Project management như PMI,hướng dẫn hỗ trợ các thành viên khác là 1 lợi thếcó chứng chỉ project management như pmi
hết mình với công việc,hết mình với công việc
học hỏi. 4. Ưu tiên ứng viên có kinh nghiệm làm việc liên quan mua bán hàng,học hỏi. 4. ưu tiên ứng viên có kinh nghiệm làm việc liên quan mua bán hàng
hỗ trợ,hỗ trợ
hỗ trợ phòng kế toán đốc thúc công nợ,hỗ trợ phòng kế toán đốc thúc công nợ
hợp đồng,hợp đồng
jQuery…- Hiểu biết tốt về Design pattern ( Singleton,jquery…- hiểu biết tốt về design pattern ( singleton
java là một lợi thế- Có khả năng tự học tập,java là một lợi thế- có khả năng tự học tập
không bỏ qua những chi tiết nhỏ nhất + Kỹ năng quản lý thời gian hiệu quả + Khả năng làm việc linh hoạt và có thể làm nhiều đầu việc cùng lúc + Kỹ năng phân tích và khai thác dữ liệu + Khả năng hợp tác cùng làm việc và hoạt động nhóm hiệu quả + Kỹ năng tìm kiếm nguyên nhân và giải quyết vấn đề,không bỏ qua những chi tiết nhỏ nhất + kỹ năng quản lý thời gian hiệu quả + khả năng làm việc linh hoạt và có thể làm nhiều đầu việc cùng lúc + kỹ năng phân tích và khai thác dữ liệu + khả năng hợp tác cùng làm việc và hoạt động nhóm hiệu quả + kỹ năng tìm kiếm nguyên nhân và giải quyết vấn đề
không kể các khu vực thành phố hay địa bàn các tỉnh lân cận,không kể các khu vực thành phố hay địa bàn các tỉnh lân cận
không lái xe khi không đủ tỉnh táo,không lái xe khi không đủ tỉnh táo
không ngại bị từ chốiKỹ năng giao tiếp bằng lời nói và viết tốtKỹ năng tổ chức tốt với kỹ năng quản lý thời gian hiệu quảTinh thần làm việc nhóm cao và quyết tâm đạt được mục tiêu bán hàngCó khả năng thích nghi trong môi trường làm việc nhanh và năng độngĐạo đức nghề nghiệp cao và phong cách làm việc chuyên nghiệp,không ngại bị từ chốikỹ năng giao tiếp bằng lời nói và viết tốtkỹ năng tổ chức tốt với kỹ năng quản lý thời gian hiệu quảtinh thần làm việc nhóm cao và quyết tâm đạt được mục tiêu bán hàngcó khả năng thích nghi trong môi trường làm việc nhanh và năng độngđạo đức nghề nghiệp cao và phong cách làm việc chuyên nghiệp
không ngại khó - Nam Tuổi dưới 30 tuổi,không ngại khó - nam tuổi dưới 30 tuổi
không ngại khó khăn trong việc giải quyết các vấn đề phát sinh. + Có kinh nghiệm 02 năm đi làm tại các công ty thuộc lĩnh vực kỹ thuật điện - điện tử học + Sử dụng cơ bản phần mềm Autocad và Revit + Có khả năng tốt trong việc tư vấn giám sát và báo cáo công việc,không ngại khó khăn trong việc giải quyết các vấn đề phát sinh. + có kinh nghiệm 02 năm đi làm tại các công ty thuộc lĩnh vực kỹ thuật điện - điện tử học + sử dụng cơ bản phần mềm autocad và revit + có khả năng tốt trong việc tư vấn giám sát và báo cáo công việc
không quản ngại khó khăn,không quản ngại khó khăn
không sợ mạo hiểm,không sợ mạo hiểm
không sử dụng chất kích thích,không sử dụng chất kích thích
không sử dụng rượu bia hoặc các chất kích thích khác,không sử dụng rượu bia hoặc các chất kích thích khác
khả năng chăm sóc khách hàng.,khả năng chăm sóc khách hàng
khả năng cảm thụ âm thanh và hình ảnh tốt,khả năng cảm thụ âm thanh và hình ảnh tốt
khả năng gắn bó lâu dài với công ty,khả năng gắn bó lâu dài với công ty
khả năng tập trung cao độ khi làm việc và khi cầm tay lái - Xử lý tình huống linh hoạt,khả năng tập trung cao độ khi làm việc và khi cầm tay lái - xử lý tình huống linh hoạt
kinh nghiệm lập trình (ưu tiên Backend,kinh nghiệm lập trình (ưu tiên backend
kiên nhẫn,kiên nhẫn
kiên trì,kiên trì
kiến thức kế toán và thuế,kiến thức kế toán và thuế
kiểm soát chất lượng sửa chữa,kiểm soát chất lượng sửa chữa
kiểm tra tem,kiểm tra tem
kiểm tra trình độ đầu vào– Xếp lịch kiểm tra hằng tuần,kiểm tra trình độ đầu vào– xếp lịch kiểm tra hằng tuần
kiểm tra.- Kỹ năng giao tiếp và giải quyết vấn đề- Khả năng tổ chức,kiểm tra.- kỹ năng giao tiếp và giải quyết vấn đề- khả năng tổ chức
kênh online,kênh online
kĩ năng chăm sóc khách hàng.Nhiệt tình,kĩ năng chăm sóc khách hàng.nhiệt tình
kế toán trở lên,kế toán trở lên
kỹ năng giao tiếp. -Yêu thích công việc kinh doanh-Có kiến thức về sản phẩm đèn led là 1 lợi thế-Yêu cầu Nam,kỹ năng giao tiếp. -yêu thích công việc kinh doanh-có kiến thức về sản phẩm đèn led là 1 lợi thế-yêu cầu nam
kỹ năng đàm phán,kỹ năng đàm phán
kỹ năng đàm phán thương lượng.,kỹ năng đàm phán thương lượng
kỹ thuật- Trung thực,kỹ thuật- trung thực
kỹ thuậtCó kinh nghiệm từ 1 năm trở lên làm việc mua hàng vật tư cơ điện,kỹ thuậtcó kinh nghiệm từ 1 năm trở lên làm việc mua hàng vật tư cơ điện
lazada,lazada
lesson planning for various English courses is an advantage- IELTS 7.5+ with no band under 6.5 or equivalent- Good knowledge in educational technology tools and teaching assistance technological tools- Strong computer skills in Office tools,lesson planning for various english courses is an advantage- ielts 7.5+ with no band under 6.5 or equivalent- good knowledge in educational technology tools and teaching assistance technological tools- strong computer skills in office tools
linh hoạt,linh hoạt
linh hoạt - Có sức khỏe tốt đảm bảo phục vụ công việc lái xe hiệu quả,linh hoạt - có sức khỏe tốt đảm bảo phục vụ công việc lái xe hiệu quả
linh hoạt và bền bỉ với tinh thần cải tiến liên tục,linh hoạt và bền bỉ với tinh thần cải tiến liên tục
logistics. 5. Sử dụng tin học văn phòng cơ bản. 6. Đam mê và muốn gắn bó lâu với nghề.,logistics. 5. sử dụng tin học văn phòng cơ bản. 6. đam mê và muốn gắn bó lâu với nghề
luôn giữ được thái độ bình tĩnh dù trong tình huống xấu nhất.,luôn giữ được thái độ bình tĩnh dù trong tình huống xấu nhất
luôn kiểm tra và rà soát kỹ càng các giai đoạn thực hiện. Đây cũng là một trong những yếu tố cực kỳ quan trọng bởi chỉ còn sơ suất nhỏ cũng gây ra những ảnh hưởng và thiệt hại lên đến hàng trăm triệu đồng Thực hiện các đầu việc về thi công,luôn kiểm tra và rà soát kỹ càng các giai đoạn thực hiện. đây cũng là một trong những yếu tố cực kỳ quan trọng bởi chỉ còn sơ suất nhỏ cũng gây ra những ảnh hưởng và thiệt hại lên đến hàng trăm triệu đồng thực hiện các đầu việc về thi công
luật thuế GTGT,luật thuế gtgt
làm báo cáo.. • Có kinh nghiệm ở vị trí tương đương,làm báo cáo.. • có kinh nghiệm ở vị trí tương đương
làm các slide trình chiếu trên Powerpoint. - Có khả năng thuyết trình lưu loát,làm các slide trình chiếu trên powerpoint. - có khả năng thuyết trình lưu loát
làm hài lòng khách hàng. Có khả năng lãnh đạo,làm hài lòng khách hàng. có khả năng lãnh đạo
làm thông tin khóa học khi lên khóa và lên cấp độ– Hỗ trợ Testing,làm thông tin khóa học khi lên khóa và lên cấp độ– hỗ trợ testing
làm việc có nguyên tắc,làm việc có nguyên tắc
làm việc nhiệt tình,làm việc nhiệt tình
làm việc nhóm,làm việc nhóm
làm việc tại số : 58 BƯNG ÔNG THOÀN,làm việc tại số : 58 bưng ông thoàn
làm việc tỉ mỉ,làm việc tỉ mỉ
làm việc vui vẻ không áp lực - nhân viên mới được hỗ trợ học việc,làm việc vui vẻ không áp lực - nhân viên mới được hỗ trợ học việc
lên ý tưởng,lên ý tưởng
lập báo cáo thuế cho doanh nghiệp hay thực hiện việc liên hệ với các cơ quan có liên quan để giải quyết các vấn đề trong công việc.,lập báo cáo thuế cho doanh nghiệp hay thực hiện việc liên hệ với các cơ quan có liên quan để giải quyết các vấn đề trong công việc
lập kế hoạch,lập kế hoạch
lịch sự lễ phép tôn trọng với đồng nghiệp,lịch sự lễ phép tôn trọng với đồng nghiệp
lịch sự với khách hàng cũng như các bạn nhân viên làm việc+ Không yêu cầu kĩ năng,lịch sự với khách hàng cũng như các bạn nhân viên làm việc+ không yêu cầu kĩ năng
lịch sự với khách hàng.,lịch sự với khách hàng
lịch sự+ Được nghỉ 2 ngày trong 1 tháng + Sau 2 tháng làm việc sẽ được ký kết hợp đồng lao động và được nhận đồng phục của cửa hàng + Sau 3 tháng làm việc sẽ được xem xét tăng lương từ 500.000 đến 1.500.000 và được hưởng các chế độ BHXH,lịch sự+ được nghỉ 2 ngày trong 1 tháng + sau 2 tháng làm việc sẽ được ký kết hợp đồng lao động và được nhận đồng phục của cửa hàng + sau 3 tháng làm việc sẽ được xem xét tăng lương từ 500.000 đến 1.500.000 và được hưởng các chế độ bhxh
mang tính chuyên môn cao Có khả năng quản lý công việc,mang tính chuyên môn cao có khả năng quản lý công việc
marketing,marketing
minh bạch Nắm rõ các điều luật giao thông cũng như chú trọng tuân thủ luật giao thông Không uống rượu bia,minh bạch nắm rõ các điều luật giao thông cũng như chú trọng tuân thủ luật giao thông không uống rượu bia
misa,misa
máu lửa,máu lửa
mưa. - Sức khỏe tốt,mưa. - sức khỏe tốt
nghiêm túc,nghiêm túc
nghiên cứu học hỏi tốt. - Biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - Kỹ năng thao tác bàn phím tốt - Kỹ năng lãnh đạo tốt,nghiên cứu học hỏi tốt. - biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - kỹ năng thao tác bàn phím tốt - kỹ năng lãnh đạo tốt
nghiên cứu học hỏi tốt. - Biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - Kỹ năng tin học văn phòng thành thạo - Có thể quản lý đội nhóm có nhiều thành viên,nghiên cứu học hỏi tốt. - biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - kỹ năng tin học văn phòng thành thạo - có thể quản lý đội nhóm có nhiều thành viên
nghiên cứu học hỏi tốt. - Biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - Sử dụng thành thạo phần mềm Microsoft Word,nghiên cứu học hỏi tốt. - biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - sử dụng thành thạo phần mềm microsoft word
nghiên cứu học hỏi tốt. - Khả năng giải quyết vấn đề linh hoạt - Kỹ năng soạn thảo văn bản,nghiên cứu học hỏi tốt. - khả năng giải quyết vấn đề linh hoạt - kỹ năng soạn thảo văn bản
nghiên cứu học hỏi tốt. - Khả năng giải quyết vấn đề linh hoạt - Kỹ năng thao tác bàn phím tốt - Có tầm nhìn và sự quyết đoán,nghiên cứu học hỏi tốt. - khả năng giải quyết vấn đề linh hoạt - kỹ năng thao tác bàn phím tốt - có tầm nhìn và sự quyết đoán
nghiên cứu học hỏi tốt. - Khả năng giải quyết vấn đề linh hoạt - Kỹ năng tin học văn phòng thành thạo - Khả năng truyền đạt thông tin hiệu quả,nghiên cứu học hỏi tốt. - khả năng giải quyết vấn đề linh hoạt - kỹ năng tin học văn phòng thành thạo - khả năng truyền đạt thông tin hiệu quả
nghiên cứu học hỏi tốt. - Khả năng giải quyết vấn đề linh hoạt - Sử dụng thành thạo phần mềm Microsoft Word,nghiên cứu học hỏi tốt. - khả năng giải quyết vấn đề linh hoạt - sử dụng thành thạo phần mềm microsoft word
nghiên cứu học hỏi tốt. - Khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - Kỹ năng thao tác bàn phím tốt - Khả năng giải quyết vấn đề linh hoạt,nghiên cứu học hỏi tốt. - khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - kỹ năng thao tác bàn phím tốt - khả năng giải quyết vấn đề linh hoạt
nghiên cứu học hỏi tốt. - Xử lý tình huống nhanh - Sử dụng thành thạo phần mềm Microsoft Word,nghiên cứu học hỏi tốt. - xử lý tình huống nhanh - sử dụng thành thạo phần mềm microsoft word
ngoại hình hay kinh nghiệm + Đã tiêm vaccine trên 1 mũi - Quyền lợi: + Được làm việc trong môi trường sạch sẽ,ngoại hình hay kinh nghiệm + đã tiêm vaccine trên 1 mũi - quyền lợi: + được làm việc trong môi trường sạch sẽ
ngoại hình khá.Tốt nghiệp trung cấp trở lên chuyên ngành điện,ngoại hình khá.tốt nghiệp trung cấp trở lên chuyên ngành điện
nguyên kiện,nguyên kiện
nguyên phụ liệu.5. Khả năng đánh giá nhà cung cấp và dự báo rủi ro trong hợp tác.6. Có trách nhiệm,nguyên phụ liệu.5. khả năng đánh giá nhà cung cấp và dự báo rủi ro trong hợp tác.6. có trách nhiệm
ngành CNTT,ngành cntt
nhanh nhạy với số liệu,nhanh nhạy với số liệu
nhanh nhẹn,nhanh nhẹn
nhanh nhẹn. - Biết cách ứng xử,nhanh nhẹn. - biết cách ứng xử
nhanh nhẹnSử dụng máy tính cơ bản,nhanh nhẹnsử dụng máy tính cơ bản
nhiệm vụ được giao.,nhiệm vụ được giao
nhiệt huyết và tinh thần ham học hỏi,nhiệt huyết và tinh thần ham học hỏi
nhiệt huyết. - Kỹ năng giao tiếp tốt,nhiệt huyết. - kỹ năng giao tiếp tốt
nhiệt tình,nhiệt tình
nhiệt tình trong công việc.Ứng viên có kinh nghiệm ít nhất 1 năm ở vị trí kỹ thuật tòa nhà hoặc vị trí tương đương.Làm việc theo ca (cụ thể trao đổi khi phỏng vấn),nhiệt tình trong công việc.ứng viên có kinh nghiệm ít nhất 1 năm ở vị trí kỹ thuật tòa nhà hoặc vị trí tương đương.làm việc theo ca (cụ thể trao đổi khi phỏng vấn
nhiệt tình trong công việcCó khả năng làm việc độc lập và đối mặt với thử tháchCó năng lực hoàn thành deadlines và chịu được áp lực cao trong công việcKỹ năng đàm phán,nhiệt tình trong công việccó khả năng làm việc độc lập và đối mặt với thử tháchcó năng lực hoàn thành deadlines và chịu được áp lực cao trong công việckỹ năng đàm phán
nhiệt tình và cầu thị. Có khả năng làm việc độc lập,nhiệt tình và cầu thị. có khả năng làm việc độc lập
nhiệt tình với công việc,nhiệt tình với công việc
nhu cầu của người dùng là một lợi thế lớn- Có khiếu thẩm mỹ khá,nhu cầu của người dùng là một lợi thế lớn- có khiếu thẩm mỹ khá
nhãn mác sản phẩm + Vệ sinh sạch sẽ,nhãn mác sản phẩm + vệ sinh sạch sẽ
nhạy bén.-Thúc đẩy kinh doanh,nhạy bén.-thúc đẩy kinh doanh
nói,nói
nói năng lưu loát,nói năng lưu loát
nói tiếng phổ thông. - Có khả năng về ngoại ngữ,nói tiếng phổ thông. - có khả năng về ngoại ngữ
nói đã đạt chứng chỉ TOEIC 650 điểm. Tôi tự tin với những kỹ năng mềm khác như: teamwork,nói đã đạt chứng chỉ toeic 650 điểm. tôi tự tin với những kỹ năng mềm khác như: teamwork
